manufacturer,model,engine,transmission,drivetrain,fuel_type
Acura,ILX Hybrid 1.5L,"1.5L I-4 i-VTEC variable valve control, engine with 90HP",Automatic,Front-wheel Drive,Gasoline
Acura,ILX Hybrid 1.5L,1.5L I4 8V MPFI SOHC Hybrid,Automatic CVT,Front-wheel Drive,Hybrid
Acura,ILX Hybrid 1.5L,111.0HP 1.5L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Front-wheel Drive,Hybrid
Acura,NSX,3.0L V6 24V SPFI DOHC,5-Speed Manual,,Gasoline
Acura,NSX Base,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid
Acura,NSX,3.0L V6 24V DOHC,5-Speed Manual,Rear-wheel Drive,Gasoline
Acura,NSX T,3.2L V6 24V MPFI DOHC,6-Speed Manual,Rear-wheel Drive,Gasoline
Acura,NSX Base,Twin Turbo Gas/Electric V-6 3.5 L/213,Automatic,All-wheel Drive,Hybrid
Acura,NSX T,,5-Speed M/T,Rear-wheel Drive,
Acura,NSX Base,573.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Transmission w/Dual Shift Mode,All-wheel Drive,Hybrid
Acura,NSX Base,"3.5L V-6 port/direct injection, DOHC, VTC variable valve control",Automatic,All-wheel Drive,Gasoline
Acura,NSX Type S,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid
Acura,NSX,3.0L V6 24V SPFI DOHC,5-Speed Manual,Rear-wheel Drive,Gasoline
Acura,NSX SH-AWD Sport Hybrid,"3.5L V-6 port/direct injection, DOHC, VTC variable valve control",Automatic,All-wheel Drive,Gasoline
Acura,NSX SH AWD Sport Hybrid 2dr Coupe,3.5L V6 Twin Turbocharger,Automatic 9-Speed,All-wheel Drive,Hybrid
Acura,NSX Sport,,Manual,Rear-wheel Drive,Gasoline
Acura,NSX Base (DCT),3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,All-wheel Drive,Hybrid
Acura,NSX,3.0L V6 24V SPFI OHV,5-Speed Manual,,Gasoline
Acura,NSX T,3.0L V6 24V MPFI DOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline
Acura,NSX,0 SELECT,SELECT,All-wheel Drive,Hybrid
Acura,NSX T,3.0L V6 24V MPFI DOHC,5-Speed Manual,Rear-wheel Drive,Gasoline
Acura,NSX Coupe,3.5L,9 speed dual clutch,All-wheel Drive,Hybrid
Acura,NSX,3.0L V6 24V DOHC,4-Speed Automatic,Rear-wheel Drive,Gasoline
Acura,NSX,3.0L V6 24V DOHC,Automatic,Rear-wheel Drive,Gasoline
Acura,NSX,3.0L V6 24V SPFI DOHC,5-Speed Manual,RWD,Gasoline
Acura,ZDX Tech Pkg,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline
Acura,ZDX Base,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline
Acura,ZDX,3.7L V6 24V MPFI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline
Acura,ZDX Base,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,All-wheel Drive,Gasoline
Acura,ZDX Base,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,All-wheel Drive,Gasoline
Acura,ZDX Base,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,All-wheel Drive,Gasoline
Acura,ILX 2.0L,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline
Acura,ILX Premium Package,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Premium Package,2.4L I4 16V GDI DOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L w/Premium Package,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline
Acura,ILX Base,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Base,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L Technology,2.0L I4 16V MPFI SOHC,5-Speed Automatic,Front-wheel Drive,Gasoline
Acura,ILX,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Base,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Technology Package,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline
Acura,ILX TECHNOLOGY&A-SPEC PACKAGES,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX A-SPEC,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Premium & A-SPEC Packages,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Technology Package,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Base,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Front-wheel Drive,Gasoline
Acura,ILX 2.4L,2.4L I4 16V GDI DOHC,8-Speed,Front-wheel Drive,Gasoline
Acura,ILX,2.4L I4 16V GDI DOHC,DCT Automatic,Front-wheel Drive,Gasoline
Acura,ILX,,8 Speed Dual-Clutch,,
Acura,ILX 2.0L w/Premium Package,2.0L I4 16V MPFI SOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.4L,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Special Edition,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX ONE OWNER W/ POWER MOONROOF&MORE!!!,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX,,8 Speed Dual-Clutch,,Gasoline
Acura,ILX 2.4L w/Premium Package,2.4L I4 16V MPFI DOHC,6-Speed Manual,Front-wheel Drive,Gasoline
Acura,ILX w/Premium Pkg,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,FWD,Gasoline
Acura,ILX Technology Plus Package,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve","Auto, 8-Spd DCT SpdShft",Front-wheel Drive,Gasoline
Acura,ILX 2.0L w/Premium Package,2.0L,Automatic 5-Speed,Front-wheel Drive,Gasoline
Acura,ILX 2.4L w/Premium Package,Premium Unleaded I-4 2.4 L/144,Manual,Front-wheel Drive,Gasoline
Acura,ILX w/Premium Pkg,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Premium and A-SPEC Packages,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX Technology & A-Spec Pkgs,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX Premium & A-SPEC Packages,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,FWD,Gasoline
Acura,ILX Premium & A-SPEC Packages,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline
Acura,ILX w/AcuraWatch Plus,Engine: 2.4L 16-Valve DOHC i-VTEC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.4L,Premium Unleaded I-4 2.4 L/144,Automatic,Front-wheel Drive,Gasoline
Acura,ILX 2.0L,"2L I-4 i-VTEC variable valve control, engine with 150HP",5-SPEED A/T,Front-wheel Drive,Gasoline
Acura,ILX Premium Package,2.4L,,Front-wheel Drive,
Acura,ILX w/Premium Pkg,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline
Acura,ILX 2.0L Technology,2.0L I4 16V MPFI SOHC,Automatic,Front-wheel Drive,Gasoline
Acura,ILX AcuraWatch Plus Package,"2.4L I-4 gasoline direct injection, DOHC, i-VTEC variable valve",Automatic,Front-wheel Drive,Gasoline
Acura,ILX Premium Package,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,FWD,Gasoline
